Date,Location,Hotel_Size,Occupancy_Rate,Has_Pool,Has_Spa,Has_Garden,Water_Saving_Measures,Season,Average_Length_of_Stay,Water_Usage
2021-03-11,,Small,85.02025772899444,True,False,True,Low-Flow Faucets,Winter,12.356125259002999,2231.5881627513263
2021-03-11,,Small,81.1231886569348,False,False,False,Greywater Recycling,Spring,9.282488171955505,13968.008880088344
2021-03-11,Countryside,Extra-large,27.010434414464292,False,False,False,None,Winter,12.13312905635279,12081.472080644884
2021-03-12,Countryside,Medium,78.75977677555494,True,True,False,Greywater Recycling,Fall,4.039508083172558,3131.881788203947
2021-03-12,Suburb,Extra-large,37.47748992151377,True,False,False,Rainwater Harvesting,Fall,7.7969841669142195,11081.084015775827
2021-03-12,City,Large,8.508538342789828,False,,,Rainwater Harvesting,Spring,9.898073270188418,10714.645124583996
2021-03-12,Countryside,Extra-large,51.48888107280565,False,True,True,None,Winter,3.9371540317269798,10278.60917752152
2021-03-12,,Large,26.968683853643494,False,True,False,Rainwater Harvesting,Fall,3.1854101336396017,8067.806713859141
2021-03-12,Suburb,Extra-large,10.214241837227878,False,False,True,Greywater Recycling,Spring,9.51866795038028,1369.4862730089098
2021-03-12,Countryside,,24.365627977739525,False,False,False,Rainwater Harvesting,Fall,3.2125068113200705,1697.223250722132
2021-03-12,Suburb,Small,26.570023727037462,False,True,True,Greywater Recycling,,9.509788497014258,2166.6197816329977
2021-03-12,,,55.82824397123577,False,True,,None,Fall,4.237414797712079,1425.2687207892768
2021-03-12,Suburb,Large,60.82361897734828,True,False,False,None,Summer,6.645765327549697,5030.292871690635
2021-03-13,Countryside,Large,14.913413197314828,False,True,,,Fall,8.232099388381513,8605.50218247182
2021-03-13,Countryside,,77.97715071995698,True,True,False,Low-Flow Faucets,Fall,5.96781968374853,5446.199114567196
2021-03-13,Countryside,Small,93.48892991190446,True,True,True,Rainwater Harvesting,Summer,4.595843578779586,13366.202570679223
2021-03-13,Suburb,Large,23.044804994467015,,True,True,Rainwater Harvesting,Summer,12.923130030323772,3972.5004913269518
